ind_hhh,Industry
C,C. INDUSTRIA MANUFACTURERA
F,F. CONSTRUCCIÓN
G,G. VENTA POR MAYOR Y POR MENOR; REPARACIÓN DE VEHÍCULOS AUTOMOTORES Y MOTOCICLETAS
42102,42102. Mantenimiento y reparación de carreteras
52102,52102. Zonas francas
23102,23102. Fabricación de envases y recipientes de vidrio
14102,14102. Fabricación de prendas de vestir de cuero
74102,74102. Actividades de diseño gráfico
45102,45102. Venta de vehículos automotores usados
08102,08102. Extracción de yeso y anhidrita
68102,68102. Actividades de anticrético de bienes inmuebles propios realizadas sin intermediarios
71202,71202. Ensayos de medición de indicadores ambientales
22202,22202. Fabricación de envases de plástico
32202,32202. Fabricación de instrumentos de música de cuerda
74202,74202. Actividades de filmación de acontecimientos sociales
15202,15202. Fabricación de partes de cuero para calzado
45202,45202. Lavado de automotores automático y manual
46202,46202. Venta por mayor de animales vivos
86202,86202. Consultorios médicos
87202,87202. Instituciones de atención a personas con problemas de salud mental con alojamiento
10302,10302. Elaboración de jugos naturales y sus concentrados de frutas y hortalizas
02302,02302. Aprovechamiento de productos forestales no maderables para combustible
14302,14302. Fabricación de complementos de vestir tejidas a máquina o a mano
85302,85302. Educación superior universitaria
46302,46302. Venta por mayor de productos lácteos
56302,56302. Expendio de jugos en locales
47302,"47302. Venta por menor de grasas, aceites y lubricantes para vehículos automotores"
45402,45402. Mantenimiento y reparación de motocicletas
10502,10502. Elaboración de helados
85502,85502. Servicios de educación especial
61902,61902. Servicios de internet al público
11012,11012. Elaboración de singani y aguardientes
01112,01112. Cultivo de legumbres secas para grano
84112,84112. Actividades de Ministerios y Viceministerios
56112,"56112. Expendio de comidas en cafeterías, confiterías, snack, heladerías y otros locales de comida rápida"
47112,"47112. Venta por menor en almacenes con surtido compuesto principalmente de alimentos, bebidas y tabaco"
49212,49212. Transporte en minibús
01412,01412. Producción de leche cruda de vaca y de búfala
46412,46412. Venta por mayor de telas
47412,47412. Venta al por menor de aparatos telefónicos y comunicación
46512,46512. Venta por mayor de programas informáticos
47512,47512. Venta por menor de  telas
10612,"10612. Beneficiado (descascarillado, pulido y blanqueado) y molienda de arroz"
01612,01612. Suministro de maquinaría agrícola con operadores
10712,10712. Elaboración de productos de pastelería
11022,11022. Elaboración de bebidas alcohólicas fermentadas pero no destiladas (chicha)
01122,01122. Cultivo de hortalizas de flor y fruto
33122,33122. Reparación y mantenimiento de maquinaria de uso agropecuario y forestal
84122,84122. Actividades de regulación y gestión de la educación (Dirección Departamental de Educación)
66122,66122. Actividades de casas de cambio
