district,District
17033,Temoac (Morelos)
17001,Amacuzac (Morelos)
17002,Atlatlahucan (Morelos)
17013,Jonacatepec de Leandro Valle (Morelos)
17026,Tlayacapan (Morelos)
17027,Totolapan (Morelos)
17005,Coatlán del Río (Morelos)
18017,Tepic (Nayarit)
18001,Acaponeta (Nayarit)
18004,Compostela (Nayarit)
18006,Ixtlán del Río (Nayarit)
18008,Xalisco (Nayarit)
18015,Santiago Ixcuintla (Nayarit)
18018,Tuxpan (Nayarit)
18020,Bahía de Banderas (Nayarit)
18002,Ahuacatlán (Nayarit)
18011,Ruíz (Nayarit)
18012,San Blas (Nayarit)
18016,Tecuala (Nayarit)
18003,Amatlán de Cañas (Nayarit)
18010,Rosamorada (Nayarit)
18013,San Pedro Lagunillas (Nayarit)
18014,Santa María del Oro (Nayarit)
18009,Del Nayar (Nayarit)
18019,La Yesca (Nayarit)
19006,Apodaca (Nuevo León)
19019,San Pedro Garza García (Nuevo León)
19021,General Escobedo (Nuevo León)
19026,Guadalupe (Nuevo León)
19031,Juárez (Nuevo León)
19039,Monterrey (Nuevo León)
19046,San Nicolás de los Garza (Nuevo León)
19048,Santa Catarina (Nuevo León)
19009,Cadereyta Jiménez (Nuevo León)
19018,García (Nuevo León)
19025,General Zuazua (Nuevo León)
19033,Linares (Nuevo León)
19038,Montemorelos (Nuevo León)
19047,Hidalgo (Nuevo León)
19049,Santiago (Nuevo León)
19045,Salinas Victoria (Nuevo León)
19004,Allende (Nuevo León)
19034,Marín (Nuevo León)
19041,Pesquería (Nuevo León)
19001,Abasolo (Nuevo León)
19005,Anáhuac (Nuevo León)
19007,Aramberri (Nuevo León)
19014,Doctor Arroyo (Nuevo León)
19016,Doctor González (Nuevo León)
19017,Galeana (Nuevo León)
19022,General Terán (Nuevo León)
19035,Melchor Ocampo (Nuevo León)
19036,Mier y Noriega (Nuevo León)
19023,General Treviño (Nuevo León)
19027,Los Herreras (Nuevo León)
19042,Los Ramones (Nuevo León)
19050,Vallecillo (Nuevo León)
20067,Oaxaca de Juárez (Oaxaca)
20184,San Juan Bautista Tuxtepec (Oaxaca)
20039,Heroica Ciudad de Huajuapan de León (Oaxaca)
20043,Juchitán de Zaragoza (Oaxaca)
20044,Loma Bonita (Oaxaca)
20059,Miahuatlán de Porfirio Díaz (Oaxaca)
20079,Salina Cruz (Oaxaca)
20385,Santa Cruz Xoxocotlán (Oaxaca)
20390,Santa Lucía del Camino (Oaxaca)
20397,Heroica Ciudad de Tlaxiaco (Oaxaca)
20399,Santa María Atzompa (Oaxaca)
20413,Santa María Huatulco (Oaxaca)
20482,Santiago Pinotepa Nacional (Oaxaca)
20515,Santo Domingo Tehuantepec (Oaxaca)
20025,Chahuites (Oaxaca)
20051,Magdalena Teitipac (Oaxaca)
20087,San Agustín Yatareni (Oaxaca)
20136,San Felipe Usila (Oaxaca)
20157,San Jacinto Amilpas (Oaxaca)
20227,San Lorenzo Cacaotepec (Oaxaca)
20278,San Miguel Soyaltepec (Oaxaca)
20293,San Pablo Etla (Oaxaca)
20295,San Pablo Huixtepec (Oaxaca)
20302,San Pedro Atoyac (Oaxaca)
20334,Villa de Tututepec (Oaxaca)
20350,San Sebastián Tutla (Oaxaca)
20364,Santa Catarina Juquila (Oaxaca)
20418,Santa María Jalapa del Marqués (Oaxaca)
20441,Santa María Xadani (Oaxaca)
20467,Santiago Jamiltepec (Oaxaca)
20539,Soledad Etla (Oaxaca)
20546,Teotitlán del Valle (Oaxaca)
20551,Tlacolula de Matamoros (Oaxaca)
20553,Tlalixtac de Cabrera (Oaxaca)
20570,Zimatlán de Álvarez (Oaxaca)
20403,Santa María Coyotepec (Oaxaca)
20009,Ayotzintepec (Oaxaca)
20124,San Blas Atempa (Oaxaca)
20261,San Miguel Amatitlán (Oaxaca)
20266,San Miguel del Puerto (Oaxaca)
20324,San Pedro Pochutla (Oaxaca)
20394,Santa María Alotepec (Oaxaca)
20469,Santiago Juxtlahuaca (Oaxaca)
20483,Santiago Suchilquitongo (Oaxaca)
20002,Acatlán de Pérez Figueroa (Oaxaca)
20010,El Barrio de la Soledad (Oaxaca)
20014,Ciudad Ixtepec (Oaxaca)
20015,Coatecas Altas (Oaxaca)
20016,Coicoyán de las Flores (Oaxaca)
20041,Huautla de Jiménez (Oaxaca)
20046,Magdalena Jaltepec (Oaxaca)
20073,Putla Villa de Guerrero (Oaxaca)
20083,San Agustín de las Juntas (Oaxaca)
20085,San Agustín Loxicha (Oaxaca)
20095,San Andrés Paxtlán (Oaxaca)
20098,San Andrés Teotilálpam (Oaxaca)
20105,San Antonino Monte Verde (Oaxaca)
20134,San Felipe Jalapa de Díaz (Oaxaca)
20141,San Francisco del Mar (Oaxaca)
20167,San José del Peñasco (Oaxaca)
